Size,MergeInsertionSort Time,MergeSort Time
100,0,199
200,99,199
300,0,397
400,196,501
500,0,1001
600,300,1195
700,299,1295
800,399,1695
900,498,2393
1000,298,2389
1100,698,3091
1200,299,3385
1300,498,4088
1400,597,4388
1500,699,5184
1600,598,5883
1700,298,7180
1800,796,6884
1900,997,7480
2000,796,8474
2100,897,9277
2200,696,9973
2300,898,10571
2400,996,11170
2500,999,11966
2600,1097,12566
2700,1196,13862
2800,1295,15159
2900,1100,16150
3000,1292,17459
3100,1399,18351
3200,1392,19250
3300,1193,20544
3400,1296,21737
3500,1396,22939
3600,1496,23737
3700,1793,25232
3800,1595,26725
3900,1795,28124
4000,1794,29125
4100,1904,31412
4200,1695,31814
4300,1897,36307
4400,1997,39970
4500,2199,41483
4600,2093,40588
4700,2692,46875
4800,2393,51657
4900,2393,50362
5000,2386,52570
5100,2789,56144
5200,3190,57640
5300,2993,65822
5400,2990,60848
5500,2989,61341
5600,3091,59543
5700,2785,64729
5800,2987,64224
5900,3290,69211
6000,3290,70710
6100,3498,71710
6200,3587,71312
6300,3199,76387
6400,3394,81271
6500,2895,74101
6600,2991,75298
6700,3188,82117
6800,3188,81574
6900,3190,84270
7000,3092,84673
7100,3405,87633
7200,3287,90556
7300,3494,92750
7400,3490,97134
7500,3492,99529
7600,3391,101128
7700,3394,103126
7800,3686,105912
7900,3590,108709
8000,3889,111697
8100,3983,112804
8200,3989,116092
8300,3889,119679
8400,4088,122975
8500,4590,126059
8600,4384,130853
8700,4487,133140
8800,4188,131648
8900,4284,135843
9000,4587,139722
9100,4694,143113
9200,4883,145312
9300,4590,149301
9400,4890,152190
9500,4983,156487
9600,5186,160968
9700,5086,162366
9800,5080,165555
9900,5095,167847
10000,5183,171445
