S,Time
1, 106616
2, 73608
3, 68522
4, 37504
5, 37606
6, 37600
7, 37599
8, 34300
9, 21454
10, 20456
11, 20050
12, 20245
13, 20349
14, 20348
15, 20146
16, 19743
17, 19754
18, 15760
19, 11072
20, 11175
21, 11566
22, 11472
23, 11269
24, 11273
25, 11270
26, 11179
27, 11268
28, 11372
29, 11376
30, 11272
31, 11271
32, 11571
33, 11170
34, 11472
35, 11071
36, 11367
37, 11472
38, 7577
39, 7180
40, 7573
41, 7086
42, 7185
43, 7380
44, 7283
45, 7086
46, 7376
47, 7286
48, 7483
49, 7277
50, 7286
51, 7685
52, 7280
53, 7483
54, 7180
55, 7480
56, 7286
57, 7384
58, 7383
59, 7278
60, 7488
61, 7384
62, 7179
63, 7381
64, 7181
65, 7188
66, 7280
67, 7581
68, 7277
69, 7283
70, 7284
71, 7185
72, 7085
73, 7083
74, 7483
75, 7181
76, 7383
77, 5688
78, 5291
79, 5390
80, 5680
81, 5384
82, 5192
83, 5480
84, 5588
85, 5485
86, 5282
87, 5490
88, 5189
89, 5286
90, 5283
91, 5492
92, 5383
93, 5388
94, 5388
95, 5585
96, 5491
97, 5587
98, 5383
99, 5489
100, 5379
101, 5791
102, 5482
103, 5387
104, 5594
105, 5388
106, 5285
107, 5487
108, 5388
109, 5585
110, 5282
111, 5482
112, 5788
113, 5684
114, 5388
115, 5394
116, 5688
117, 5580
118, 5095
119, 5284
120, 5784
121, 5685
122, 5483
123, 5292
124, 5491
125, 5584
126, 5285
127, 5492
128, 5883
129, 5585
130, 5380
131, 5593
132, 5781
133, 5588
134, 5684
135, 5387
136, 5483
137, 5586
138, 5488
139, 5588
140, 5684
141, 5690
142, 5486
143, 5588
144, 5582
145, 5684
146, 5586
147, 5579
148, 5485
149, 5685
150, 5784
151, 5289
152, 5185
153, 5784
154, 5389
155, 4996
156, 5387
157, 5189
158, 5389
159, 5087
160, 5388
161, 5083
162, 5192
163, 5288
164, 5083
165, 5092
166, 5085
167, 5488
168, 5083
169, 5392
170, 5283
171, 5195
172, 5086
173, 5383
174, 5192
175, 5185
176, 5188
177, 5287
178, 5176
179, 5393
180, 5287
181, 5187
182, 5187
183, 5279
184, 5195
185, 5193
186, 5581
187, 5196
188, 5291
189, 5282
190, 5489
191, 5087
192, 5180
193, 5189
194, 5288
195, 5087
196, 5283
197, 5184
198, 5189
199, 5183
200, 5194
201, 5282
202, 5179
203, 5192
204, 5184
205, 5189
206, 5181
207, 4989
208, 5289
209, 5187
210, 5191
211, 5278
212, 5202
213, 5182
214, 5486
215, 5372
216, 5494
217, 5188
218, 5187
219, 5186
220, 5192
221, 5386
222, 5193
223, 4990
224, 5181
225, 5383
226, 5392
227, 5187
228, 5190
229, 5391
230, 5485
231, 5285
232, 5388
233, 5288
234, 5092
235, 5385
236, 5389
237, 5083
238, 5392
239, 5085
240, 5295
241, 5086
242, 5390
243, 5286
244, 5091
245, 5085
246, 5488
247, 5289
248, 5387
249, 5386
250, 5486
251, 5184
252, 5386
253, 5383
254, 5191
255, 5194
256, 5189
257, 5388
258, 5285
259, 5385
260, 5388
261, 5185
262, 5291
263, 5282
264, 5291
265, 5389
266, 5389
267, 5291
268, 5483
269, 5386
270, 5190
271, 5085
272, 5090
273, 5388
274, 5288
275, 5192
276, 5489
277, 5387
278, 5387
279, 5483
280, 5190
281, 5584
282, 5188
283, 5383
284, 5085
285, 5390
286, 5283
287, 5185
288, 5284
289, 5487
290, 5284
291, 5091
292, 5082
293, 5388
294, 5488
295, 5387
296, 5290
297, 5586
298, 5382
299, 5391
300, 5389
301, 5388
302, 5383
303, 5193
304, 5188
305, 5288
306, 5382
307, 5492
308, 5384
309, 5579
310, 5387
311, 6188
312, 6984
313, 6386
314, 6880
315, 6791
316, 6782
317, 6775
318, 6487
319, 6888
320, 6679
321, 6387
322, 6390
323, 6685
324, 6586
325, 6580
326, 6485
327, 6585
328, 6581
329, 6692
330, 6485
331, 6385
332, 6389
333, 6585
334, 6582
335, 6685
336, 6383
337, 6585
338, 6681
339, 6483
340, 6689
341, 6672
342, 6388
343, 6686
344, 6388
345, 6583
346, 6482
347, 6388
348, 6388
349, 6487
350, 6688
351, 6881
352, 6983
353, 6877
354, 6685
355, 6781
356, 6784
357, 6678
358, 6688
359, 6784
360, 6682
361, 6587
362, 7374
363, 6991
364, 6983
365, 7183
366, 7181
367, 7084
368, 6784
369, 6584
370, 6692
371, 6786
372, 6779
373, 6691
374, 6887
375, 6980
376, 6686
377, 6978
378, 7083
379, 6786
380, 6485
381, 6684
382, 6776
383, 6789
384, 5797
385, 6177
386, 6893
387, 6694
388, 6792
389, 6088
390, 6593
391, 6596
392, 6283
393, 6794
394, 6592
395, 6086
396, 6494
397, 6689
398, 5981
399, 7393
400, 6486
