S,Time
1,6679
2,6739
3,6410
4,5171
5,4690
6,5517
7,5111
8,3902
9,2686
10,2728
11,2565
12,2597
13,2445
14,2203
15,2195
16,3268
17,3327
18,5042
19,3578
20,3688
21,3838
22,4243
23,3232
24,5069
25,3179
26,3494
27,4469
28,3978
29,3309
30,2359
31,2117
32,3845
33,2921
34,4986
35,3313
36,3168
37,3505
38,3396
39,3471
40,3228
41,3231
42,3245
43,3944
44,3389
45,2981
46,3425
47,3201
48,3477
49,3654
50,3661
51,3089
52,3807
53,3462
54,3723
55,3652
56,3514
57,3030
58,3615
59,3704
60,4514
61,3934
62,3268
63,3478
64,3944
65,3981
66,3703
67,3651
68,3569
69,3534
70,2028
71,3583
72,2729
73,3157
74,3311
75,3182
76,2499
77,2788
78,2810
79,2749
80,3018
81,2834
82,3916
83,3210
84,3019
85,2999
86,3096
87,2904
88,4297
89,4020
90,2768
91,3880
92,4680
93,3281
94,3980
95,3325
96,2961
97,3788
98,4040
99,3413
100,3237
